qi-k!504,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-22,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-27,qi-quant-u-25,qi-quant-u-3,qi-quant-u-24,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-quant-u-4,qi-quant-u-29,qi-quant-u-5,qi-$Set[Int]_prog.subset_definition,qi-k!415,qi-quant-u-6,qi-quant-u-31,qi-quant-u-7,qi-quant-u-14,qi-quant-u-46,qi-quant-u-15,qi-quant-u-45,qi-quant-u-12,qi-quant-u-44,qi-quant-u-13,qi-quant-u-42,qi-k!425,qi-quant-u-10,qi-quant-u-41,qi-quant-u-11,qi-quant-u-39,qi-quant-u-18,qi-quant-u-38,qi-quant-u-8,qi-quant-u-37,qi-quant-u-50,qi-quant-u-19,qi-quant-u-48,qi-quant-u-9,qi-quant-u-33,qi-prog.getter_over_tuple2,qi-quant-u-16,qi-quant-u-17,qi-prog.set_ax_dec,qi-prog.set_ax_bound,execution_time
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.52246880531311
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.536472082138062
1,2,6,6,6,2,28,27,8,5,3,3,3,2,2,2,30,11,7,5,41,23,20,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.720568656921387
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.720842599868774
1,2,6,6,6,2,28,27,8,5,3,3,3,2,2,2,30,11,7,5,41,23,20,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.42858076095581
1,2,6,6,6,2,28,27,8,5,3,3,3,2,2,2,30,11,7,5,41,23,20,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.932849884033203
1,2,6,6,6,2,28,27,8,5,3,3,3,2,2,2,30,11,7,5,41,23,20,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.378710508346558
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.451270580291748
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.757553339004517
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.58380126953125
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.44314193725586
1,2,6,6,6,2,28,27,7,5,3,4,4,2,2,2,29,12,8,5,38,22,18,5,2,4,2,3,6,1,1,1,1,6,5,6,1,1,1,1,1,3,2,2,2,2,3,5,5,5,3,3,3,5,5,3,2,1,3,2,9.520839929580688
