qi-k!881,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-110,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-115,qi-quant-u-113,qi-quant-u-3,qi-quant-u-112,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-quant-u-4,qi-quant-u-117,qi-quant-u-5,qi-$Set[Int]_prog.subset_definition,qi-k!643,qi-quant-u-6,qi-quant-u-119,qi-quant-u-7,qi-quant-u-126,qi-quant-u-8,qi-quant-u-125,qi-quant-u-9,qi-quant-u-121,qi-quant-u-133,qi-quant-u-10,qi-quant-u-132,qi-quant-u-24,qi-quant-u-11,qi-quant-u-127,qi-quant-u-25,qi-quant-u-153,qi-k!2008,qi-quant-u-12,qi-quant-u-136,qi-quant-u-134,qi-quant-u-135,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_opaque/sets_opaque.gobra.vpr@448@12@450@56,qi-quant-u-18,qi-quant-u-145,qi-quant-u-19,qi-quant-u-17,qi-quant-u-141,qi-quant-u-14,qi-quant-u-140,qi-quant-u-15,qi-quant-u-138,qi-quant-u-160,qi-quant-u-27,qi-quant-u-158,qi-quant-u-148,qi-quant-u-20,qi-quant-u-147,qi-quant-u-21,qi-$Set[Int]_prog.union_left_idempotency,qi-quant-u-150,qi-quant-u-23,qi-quant-u-149,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-quant-u-157,qi-quant-u-156,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_opaque/sets_opaque.gobra.vpr@222@13@224@54,qi-k!653,qi-quant-u-69,qi-quant-u-241,qi-quant-u-79,qi-quant-u-262,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-92,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.count_union,qi-quant-u-93,qi-quant-u-293,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_empty,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-k!5521,qi-k!5527,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_opaque/sets_opaque.gobra.vpr@637@12@639@47,qi-$Set[Int]_prog.union_right_idempotency,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_opaque/sets_opaque.gobra.vpr@511@6@514@41,qi-prog.getter_over_tuple2,qi-quant-u-40,qi-quant-u-41,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,6,30,30,30,6,144,143,125,17,12,11,11,6,8,6,227,120,33,38,608,251,196,60,8,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,11,8,10,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,13.408269882202148
1,6,30,30,30,6,146,145,119,19,13,11,11,6,8,6,219,119,34,39,586,242,186,56,6,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,12,9,11,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.654552936553955
1,6,30,30,30,6,144,143,124,17,12,11,11,6,8,6,231,116,33,38,605,256,195,59,8,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,11,8,10,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.997634172439575
1,6,30,30,30,6,144,143,123,17,12,11,11,6,8,6,231,116,33,38,599,250,196,61,7,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,11,8,10,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.693997383117676
1,6,30,30,30,6,146,145,122,19,13,11,11,6,8,6,233,113,34,39,604,258,195,59,6,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,13,10,12,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.928714990615845
1,6,30,30,30,6,144,143,125,17,12,11,11,6,8,6,227,119,33,38,608,251,196,60,7,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,10,7,9,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.775447607040405
1,6,30,30,30,6,146,145,121,19,13,11,11,6,8,6,227,112,34,39,591,252,186,57,6,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,8,5,7,1,1,7,7,7,7,4,4,4,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.863157033920288
1,6,30,30,30,6,144,143,127,17,12,11,11,6,8,6,233,120,33,38,615,255,200,64,7,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,11,8,10,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.789527893066406
1,6,30,30,30,6,146,145,124,19,13,11,11,6,8,6,233,113,34,39,608,258,195,59,6,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,12,9,11,1,1,7,7,7,7,6,6,6,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.729537725448608
1,6,30,30,30,6,144,143,126,17,12,11,11,6,8,6,232,115,33,38,611,257,198,61,7,23,19,20,7,1,3,3,3,11,16,16,16,16,12,13,13,4,13,13,6,6,4,3,3,2,2,3,10,7,9,1,1,7,7,7,7,4,4,4,2,2,2,2,2,1,1,1,2,1,2,2,3,1,1,1,4,4,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,3,2,1,6,6,1,1,12.979766130447388
